Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             1.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542264,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -66.8576,decimal degrees,,
Longitude                   ,,        76.7010,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              4,,,
Time                        ,,           5.28,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             1.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       22542265,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -66.8575,decimal degrees,,
Longitude                   ,,        76.7010,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              4,,,
Time                        ,,           7.72,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             2.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542266,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -66.9038,decimal degrees,,
Longitude                   ,,        76.5130,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              4,,,
Time                        ,,          10.63,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,           463.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542267,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -66.8212,decimal degrees,,
Longitude                   ,,        76.6914,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              4,,,
Time                        ,,          13.58,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          1507.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542268,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -66.7390,decimal degrees,,
Longitude                   ,,        76.6649,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              4,,,
Time                        ,,          17.45,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          1815.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542269,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -66.6133,decimal degrees,,
Longitude                   ,,        76.6563,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              4,,,
Time                        ,,          21.70,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          2386.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542270,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -66.3039,decimal degrees,,
Longitude                   ,,        76.7308,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              5,,,
Time                        ,,           1.68,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             1.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       22542271,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -66.3038,decimal degrees,,
Longitude                   ,,        76.7320,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              5,,,
Time                        ,,           4.07,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          3760.,OCL code,THOMAS G. THOMPSON (AGOR-23; call sign KTDQ; built 1991; IMO8814419),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          2805.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542272,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -65.7768,decimal degrees,,
